Match,Date (UTC),Kickoff (UTC),Kickoff (ET),Team A,Team B,Group / Round,Venue,City,Host Country
1,2026-06-11,19:00,3:00 PM,Mexico,South Africa,Group A,Estadio Azteca,Mexico City,Mexico
2,2026-06-12,02:00,10:00 PM,South Korea,Czechia,Group A,Estadio Akron,Guadalajara,Mexico
3,2026-06-12,19:00,3:00 PM,Canada,Bosnia & Herzegovina,Group B,BMO Field,Toronto,Canada
4,2026-06-13,01:00,9:00 PM,United States,Paraguay,Group D,SoFi Stadium,Inglewood,USA
5,2026-06-13,19:00,3:00 PM,Qatar,Switzerland,Group B,Levi's Stadium,Santa Clara,USA
6,2026-06-13,22:00,6:00 PM,Brazil,Morocco,Group C,MetLife Stadium,East Rutherford,USA
7,2026-06-14,01:00,9:00 PM,Haiti,Scotland,Group C,Gillette Stadium,Foxborough,USA
8,2026-06-14,16:00,12:00 PM,Australia,Türkiye,Group D,BC Place,Vancouver,Canada
9,2026-06-14,17:00,1:00 PM,Germany,Curaçao,Group E,NRG Stadium,Houston,USA
10,2026-06-14,20:00,4:00 PM,Netherlands,Japan,Group F,AT&T Stadium,Arlington,USA
11,2026-06-14,23:00,7:00 PM,Ivory Coast,Ecuador,Group E,Lincoln Financial Field,Philadelphia,USA
12,2026-06-15,02:00,10:00 PM,Sweden,Tunisia,Group F,Estadio BBVA,Monterrey,Mexico
13,2026-06-15,16:00,12:00 PM,Spain,Cape Verde,Group H,Mercedes-Benz Stadium,Atlanta,USA
14,2026-06-15,19:00,3:00 PM,Belgium,Egypt,Group G,Lumen Field,Seattle,USA
15,2026-06-15,22:00,6:00 PM,Saudi Arabia,Uruguay,Group H,Hard Rock Stadium,Miami Gardens,USA
16,2026-06-16,01:00,9:00 PM,Iran,New Zealand,Group G,SoFi Stadium,Inglewood,USA
17,2026-06-16,19:00,3:00 PM,France,Senegal,Group I,MetLife Stadium,East Rutherford,USA
18,2026-06-16,22:00,6:00 PM,Iraq,Norway,Group I,Gillette Stadium,Foxborough,USA
19,2026-06-17,01:00,9:00 PM,Argentina,Algeria,Group J,Arrowhead Stadium,Kansas City,USA
20,2026-06-17,04:00,12:00 AM,Austria,Jordan,Group J,Levi's Stadium,Santa Clara,USA
21,2026-06-17,17:00,1:00 PM,Portugal,DR Congo,Group K,NRG Stadium,Houston,USA
22,2026-06-17,20:00,4:00 PM,England,Croatia,Group L,AT&T Stadium,Arlington,USA
